[{'competidor_dni': 1101, 'escuela':1, 'nombre': 'Roque','apellido': 'Gonzales', 'foto': 'esta1', 'fecha_nacimiento': '1994-07-17', 'nro_itf': 1, 'graduacion':3, 'peso':75, 'medalleroPorModalidad':[{'id_modalidad' : 2}],'medalleroPorCampeonato':[]}, 
{'competidor_dni': 1102, 'escuela':1, 'nombre': 'Roque','apellido': 'Gonzales', 'foto': 'esta1', 'fecha_nacimiento': '1994-07-17', 'nro_itf': 1, 'graduacion':3, 'peso':75, 'medalleroPorModalidad':[{'id_modalidad' : 2}],'medalleroPorCampeonato':[]}, 
{'competidor_dni': 1103, 'escuela':1, 'nombre': 'Roque','apellido': 'Gonzales', 'foto': 'esta1', 'fecha_nacimiento': '1994-07-17', 'nro_itf': 1, 'graduacion':3, 'peso':75, 'medalleroPorModalidad':[{'id_modalidad' : 2}],'medalleroPorCampeonato':[]}, 
{'competidor_dni': 1104, 'escuela':1, 'nombre': 'Roque','apellido': 'Gonzales', 'foto': 'esta1', 'fecha_nacimiento': '1994-07-17', 'nro_itf': 1, 'graduacion':3, 'peso':75, 'medalleroPorModalidad':[{'id_modalidad' : 2}],'medalleroPorCampeonato':[]}, 
{'competidor_dni': 1105, 'escuela':1, 'nombre': 'Roque','apellido': 'Gonzales', 'foto': 'esta1', 'fecha_nacimiento': '1994-07-17', 'nro_itf': 1, 'graduacion':3, 'peso':75, 'medalleroPorModalidad':[{'id_modalidad' : 2}],'medalleroPorCampeonato':[]}, 
{'competidor_dni': 1106, 'escuela':1, 'nombre': 'Roque','apellido': 'Gonzales', 'foto': 'esta1', 'fecha_nacimiento': '1994-07-17', 'nro_itf': 1, 'graduacion':3, 'peso':75, 'medalleroPorModalidad':[{'id_modalidad' : 2}],'medalleroPorCampeonato':[]}, 
{'competidor_dni': 1107, 'escuela':1, 'nombre': 'Roque','apellido': 'Gonzales', 'foto': 'esta1', 'fecha_nacimiento': '1994-07-17', 'nro_itf': 1, 'graduacion':3, 'peso':75, 'medalleroPorModalidad':[{'id_modalidad' : 2}],'medalleroPorCampeonato':[]}, 
{'competidor_dni': 1108, 'escuela':1, 'nombre': 'Roque','apellido': 'Gonzales', 'foto': 'esta1', 'fecha_nacimiento': '1994-07-17', 'nro_itf': 1, 'graduacion':3, 'peso':75, 'medalleroPorModalidad':[{'id_modalidad' : 2}],'medalleroPorCampeonato':[]}, 
{'competidor_dni': 1109, 'escuela':1, 'nombre': 'Roque','apellido': 'Gonzales', 'foto': 'esta1', 'fecha_nacimiento': '1994-07-17', 'nro_itf': 1, 'graduacion':3, 'peso':75, 'medalleroPorModalidad':[{'id_modalidad' : 2}],'medalleroPorCampeonato':[]}, 
{'competidor_dni': 1110, 'escuela':1, 'nombre': 'Roque','apellido': 'Gonzales', 'foto': 'esta1', 'fecha_nacimiento': '1994-07-17', 'nro_itf': 1, 'graduacion':3, 'peso':75, 'medalleroPorModalidad':[{'id_modalidad' : 2}],'medalleroPorCampeonato':[]}, 
{'competidor_dni': 1111, 'escuela':1, 'nombre': 'Roque','apellido': 'Gonzales', 'foto': 'esta1', 'fecha_nacimiento': '1994-07-17', 'nro_itf': 1, 'graduacion':3, 'peso':75, 'medalleroPorModalidad':[{'id_modalidad' : 2}],'medalleroPorCampeonato':[]}, 
{'competidor_dni': 1112, 'escuela':1, 'nombre': 'Roque','apellido': 'Gonzales', 'foto': 'esta1', 'fecha_nacimiento': '1994-07-17', 'nro_itf': 1, 'graduacion':3, 'peso':75, 'medalleroPorModalidad':[{'id_modalidad' : 2}],'medalleroPorCampeonato':[]}, 
{'competidor_dni': 1113, 'escuela':1, 'nombre': 'Roque','apellido': 'Gonzales', 'foto': 'esta1', 'fecha_nacimiento': '1994-07-17', 'nro_itf': 1, 'graduacion':3, 'peso':75, 'medalleroPorModalidad':[{'id_modalidad' : 2}],'medalleroPorCampeonato':[]}, 
{'competidor_dni': 1114, 'escuela':1, 'nombre': 'Roque','apellido': 'Gonzales', 'foto': 'esta1', 'fecha_nacimiento': '1994-07-17', 'nro_itf': 1, 'graduacion':3, 'peso':75, 'medalleroPorModalidad':[{'id_modalidad' : 2}],'medalleroPorCampeonato':[]}, 
{'competidor_dni': 1115, 'escuela':1, 'nombre': 'Roque','apellido': 'Gonzales', 'foto': 'esta1', 'fecha_nacimiento': '1994-07-17', 'nro_itf': 1, 'graduacion':3, 'peso':75, 'medalleroPorModalidad':[{'id_modalidad' : 2}],'medalleroPorCampeonato':[]}, 
{'competidor_dni': 1116, 'escuela':1, 'nombre': 'Roque','apellido': 'Gonzales', 'foto': 'esta1', 'fecha_nacimiento': '1994-07-17', 'nro_itf': 1, 'graduacion':3, 'peso':75, 'medalleroPorModalidad':[{'id_modalidad' : 2}],'medalleroPorCampeonato':[]}, 
